Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.35     0.00   312601     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      1.35     0.00   312601     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      1.35     0.00   303763     0.00     0.00  std::pow(long double, long double)
  0.00      1.35     0.00   301952     0.00     0.00  __gnu_cxx::__promote_2<long double, int, __gnu_cxx::__promote<long double, std::__is_integer<long double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<long double, int>(long double, int)
  0.00      1.35     0.00   301948     0.00     0.00  ns3::int64x64_t::int64x64_t(ns3::int64x64_t const&)
  0.00      1.35     0.00   293217     0.00     0.00  std::_Rb_tree<ns3::Ptr<ns3::Node>, std::pair<ns3::Ptr<ns3::Node> const, unsigned long>, std::_Select1st<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> >, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      1.35     0.00   262607     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      1.35     0.00   262607     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.35     0.00   261410     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      1.35     0.00   261410     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      1.35     0.00   258049     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      1.35     0.00   243275     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      1.35     0.00   243018     0.00     0.00  std::allocator<int>::~allocator()
  0.00      1.35     0.00   242714     0.00     0.00  ns3::SimpleRefCount<ns3::EventImpl, ns3::empty, ns3::DefaultDeleter<ns3::EventImpl> >::Unref() const
  0.00      1.35     0.00   241678     0.00     0.00  ns3::DefaultDeleter<ns3::EventImpl>::Delete(ns3::EventImpl*)
  0.00      1.35     0.00   240831     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      1.35     0.00   240831     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      1.35     0.00   231940     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      1.35     0.00   226419     0.00     0.00  std::less<unsigned int>::operator()(unsigned int const&, unsigned int const&) const
  0.00      1.35     0.00   204537     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.35     0.00   179195     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.35     0.00   174676     0.00     0.00  int* std::__niter_base<int*>(int*)
